path,type,Language,translationOf,id,title,text,description,hebergements,state,image
idee-sejour/sport-and-leisure-stay/winter-sports-stay/idea-for-a -winter-sports-stay,Vignette,,,idea-for-a -winter-sports-stay,Idea for a  Winter Sports Stay,,Winter Sports Stay in a gite or guest room,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/winter-sports-stay/idea-for-a%20-winter-sports-stay
idee-sejour/sport-and-leisure-stay/winter-sports-stay/winter-sports-stay,Image,,,winter-sports-stay,Winter Sports Stay,,"Winter Sports in gites and guest rooms, cross-country skiing, battle of snowballs, sledge races.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/winter-sports-stay/winter-sports-stay
idee-sejour/sport-and-leisure-stay/tourist-attractions-stay,IdeeSejour,en,idee-sejour/sejour-sport-et-loisirs/sejour-attractions-et-musees,tourist-attractions-stay,Tourist Attractions Stay,"
<p align=""center""><b><img src=""tourist-attraction-stay"" alt=""Tourist Attraction Stay"" /></b></p>
<p></p>
<p align=""justify""></p>
<p>Rich of its historical past with its monuments and prestigious sites, Wallonia has seen the multiplication of tourist sites organised for your pleasure and distraction, to initiate you to the regional history and traditions, amuse your family or fill in everyone’s leisure time.</p>
<p>From the modest individually owned museum occasionally open, to the major well organised  attractions,  not forgetting the natural sites highlighted by a documented presentation, you’ll find in Wallonia, numerous occasions of instruction or distraction.</p>
","Distraction, amusement, culture... a complete programme offered by Wallonia.",1037|324|1030|530|1004|153|237|410|1009|236|238|289|952|552|24|167|736|114|486|899|570|312|245|134|502|773|58|60|59|881|89|539|540|870|199|259|258|865|112|370|712|272|1001|74|49|50|589|42|488|830|829|828|826|827|825|824|820|192|831|330|378|1159|1196|1209|949|1260|1262|1264|1268|1273|1281|1288|1290|1312|1313|294|269|158|491|424|344|340|636|575|1538|799|740|735|734|917|913|1546|1549|1550|1551|1552|1553|1556|1557|1591|1592|1593|1594|1571|1572|1573|1574|1565|1587|1575|1613|1621|1622|1630|1639|1640|1641|1642,publish,
idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/idea-for-a-tourist-attractions-stay,Vignette,,,idea-for-a-tourist-attractions-stay,Idea for a Tourist Attractions Stay,,Tourist Attractions Stay  in a gite or guest room.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/idea-for-a-tourist-attractions-stay
idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/tourist-attraction-stay,Image,,,tourist-attraction-stay,Tourist Attraction Stay,,"Tourist Attraction gites and guest rooms, numerous occasions of instruction or distraction.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/tourist-attraction-stay
idee-sejour/sport-and-leisure-stay/horse-riding-stay/idea-for-a-horse-riding-stay,Vignette,,,idea-for-a-horse-riding-stay,Idea for a Horse-riding Stay,,Horse-riding Stay in a gite or guest room.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/horse-riding-stay/idea-for-a-horse-riding-stay
idee-sejour/sport-and-leisure-stay/horse-riding-stay/horse-riding-stay,Image,,,horse-riding-stay,Horse-riding Stay,,"Horse-riding gites and guest rooms, a nature discovering stay.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/horse-riding-stay/horse-riding-stay
idee-sejour/sport-and-leisure-stay/fishing-stay/idea-for-a-fishing-stay,Vignette,,,idea-for-a-fishing-stay,Idea for a Fishing Stay,,Fishing Stay in a gite or guest room. ,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/fishing-stay/idea-for-a-fishing-stay
idee-sejour/sport-and-leisure-stay/fishing-stay/fishing-stay,Image,,,fishing-stay,Fishing Stay,,"Fishing gites and guest rooms, accommodation close to lakes, rivers and ponds of the Belgian Ardennes.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/fishing-stay/fishing-stay
idee-sejour/sport-and-leisure-stay/kayak-and-water-sport-stay/idea-for-a-kayak-and-water-sport-stay,Vignette,,,idea-for-a-kayak-and-water-sport-stay,Idea for a Kayak and Water Sport Stay,,Kayak and Water Sport Stay in a gite or guest room.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/kayak-and-water-sport-stay/idea-for-a-kayak-and-water-sport-stay
idee-sejour/sport-and-leisure-stay/kayak-and-water-sport-stay/kayak-and-water-sport-stay,Image,,,kayak-and-water-sport-stay,Kayak and Water Sport Stay,,"Kayak and Water Sport gites and guest rooms, on the Amblève, the Lesse from Houyet to Anseremme, the Ourthe as from Nisramont, the Semois as from Chiny and on the Viroin",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/kayak-and-water-sport-stay/kayak-and-water-sport-stay
idee-sejour/sport-and-leisure-stay/cycling-stay/idea-for-a-cycling-stay,Vignette,,,idea-for-a-cycling-stay,Idea for a Cycling Stay,,Cycling Stay in a gite or guest room,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/cycling-stay/idea-for-a-cycling-stay
idee-sejour/sport-and-leisure-stay/cycling-stay/cycling-stay,Image,,,cycling-stay,Cycling Stay,,"The Cycling gites and guest rooms, an escapade with rich discoveries.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/cycling-stay/cycling-stay
idee-sejour/sport-and-leisure-stay/mtb-stay/idea-for-a-mtb-stay,Vignette,,,idea-for-a-mtb-stay,Idea for a MTB Stay,,MTB Stay in a gite or guest room,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/mtb-stay/idea-for-a-mtb-stay
idee-sejour/sport-and-leisure-stay/mtb-stay/mtb-stay,Image,,,mtb-stay,MTB Stay,,"The MTB gites and guestrooms, a means of surpassing oneself.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/mtb-stay/mtb-stay
idee-sejour/sport-and-leisure-stay/golf-stay/idea-for-a-golf-stay,Vignette,,,idea-for-a-golf-stay,Idea for a Golf Stay,,Golf Stay  in a gite or guest room.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/golf-stay/idea-for-a-golf-stay
idee-sejour/sport-and-leisure-stay/golf-stay/golf-stay,Image,,,golf-stay,Golf Stay,,"Golf gites and guest rooms, numerous courses for knowledgeable players and beginners.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/golf-stay/golf-stay
idee-sejour/sport-and-leisure-stay/adventure-and-extreme-stay/idea-for-an-adventure-and-extreme-stay,Vignette,,,idea-for-an-adventure-and-extreme-stay,Idea for an Adventure and Extreme Stay,,Adventure and Extreme Stay in a gite or guest room,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/adventure-and-extreme-stay/idea-for-an-adventure-and-extreme-stay
idee-sejour/sport-and-leisure-stay/adventure-and-extreme-stay/adventure-and-extreme-stay,Image,,,adventure-and-extreme-stay,Adventure and Extreme Stay,,"Adventure and Extreme gites and guest rooms, paragliding, rock-climbing, rafting, microlighting, pot-holing and vertigo path. ",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/adventure-and-extreme-stay/adventure-and-extreme-stay
idee-sejour/sport-and-leisure-stay/winter-sports-stay/idea-for-a -winter-sports-stay,Vignette,,,idea-for-a -winter-sports-stay,Idea for a  Winter Sports Stay,,Winter Sports Stay in a gite or guest room,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/winter-sports-stay/idea-for-a%20-winter-sports-stay
idee-sejour/sport-and-leisure-stay/winter-sports-stay/winter-sports-stay,Image,,,winter-sports-stay,Winter Sports Stay,,"Winter Sports in gites and guest rooms, cross-country skiing, battle of snowballs, sledge races.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/winter-sports-stay/winter-sports-stay
idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/idea-for-a-tourist-attractions-stay,Vignette,,,idea-for-a-tourist-attractions-stay,Idea for a Tourist Attractions Stay,,Tourist Attractions Stay  in a gite or guest room.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/idea-for-a-tourist-attractions-stay
idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/tourist-attraction-stay,Image,,,tourist-attraction-stay,Tourist Attraction Stay,,"Tourist Attraction gites and guest rooms, numerous occasions of instruction or distraction.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/sport-and-leisure-stay/tourist-attractions-stay/tourist-attraction-stay
idee-sejour/group-stay,IdeeSejourFolder,en,idee-sejour/sejour-de-groupe,group-stay,Group Stay,,"
<p>Meet for a group stay…with friends, family or colleagues, to celebrate an event, for a working session or simply for the pleasure of being together.</p>
",,publish,
idee-sejour/group-stay/group-stay,IdeeSejour,en,idee-sejour/sejour-de-groupe/sejour-pour-groupe,group-stay,Group Stay,"
<p align=""center""><b><img src=""group-stay"" alt=""Group Stay"" /></b></p>
<p>Real places for family reunions or get together places for friends, the large capacity gites offer an infrastructure that allows autonomy, with all the necessary comfort.</p>
<p>When fitting these buildings, it has been foreseen to be able to welcome families individually, but also to allow them to meet all together to celebrate a family event or simply to share their meals. In which case they are individual accommodations allowing everyone, if they so wish, to live « at home » while also taking part in group activities and festivities.</p>
","To be all together, with family, with friends…",519|960|294|289|238|952|391|872|366|92|540|1010|1003|85|930|648|387|49|589|741|1151|1152|1195|1196|1198|1199|1200|1147|1146|1167|1128|1135|1129|1157|1171|1155|1123|1172|1158|1133|1132|1125|1214|1215|1217|1218|17|984|147|90|52|219|158|607|552|534|801,publish,
idee-sejour/group-stay/group-stay/idea-for-a-group-stay,Vignette,,,idea-for-a-group-stay,Idea for a Group Stay,,Group Stay  in a gite or guest house,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/group-stay/idea-for-a-group-stay
idee-sejour/group-stay/group-stay/group-stay,Image,,,group-stay,Group Stay,,"Group gites and guest rooms, places of reunion and meetings.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/group-stay/group-stay
idee-sejour/group-stay/a-stay-with-meeting-room,IdeeSejour,en,idee-sejour/sejour-de-groupe/sejour-avec-salle-de-reception,a-stay-with-meeting-room,Stay with meeting room,"
<p align=""center""><b><img src=""a-stay-with-meeting-room"" alt=""A Stay with meeting room "" /></b></p>
<p>The majority of group accommodations have one or more rooms that can welcome some twenty or sometimes fifty people, sometimes even more. Some owners even have reception rooms that are independent from the accommodation itself.</p>
<p>These rooms can be used for family events but also for larger events such as exhibitions or conventional receptions or even marriages.</p>
","Take advantage of a stay for your events: marriage, family reunion, exhibition…",955|237|236|238|960|289|552|490|534|92|17|626|1042|1041|1040|1043|1044|414|415|669|670|363|851|625|207|249|259|258|865|85|648|90|847|1157|984|147|52|158|330|628|607|519|801|704|894,publish,
idee-sejour/group-stay/a-stay-with-meeting-room/idea-for-a-stay-with-meeting-room,Vignette,,,idea-for-a-stay-with-meeting-room,Idea for a Stay with meeting room,,A Stay with meeting room in a gite or guest house.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/a-stay-with-meeting-room/idea-for-a-stay-with-meeting-room
idee-sejour/group-stay/a-stay-with-meeting-room/a-stay-with-meeting-room,Image,,,a-stay-with-meeting-room,A Stay with meeting room,,"Gites and guest houses with meeting rooms, for family events, exhibitions or marriages.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/a-stay-with-meeting-room/a-stay-with-meeting-room
idee-sejour/group-stay/green-seminar-stay,IdeeSejour,en,idee-sejour/sejour-de-groupe/sejour-avec-salle-de-reunion,green-seminar-stay,Green Seminar Stay,"
<p align=""center""><img src=""green-seminar-stay"" alt=""Green Seminar Stay"" /></p>
<p>We suggest an original alternative for the organization of your seminars. Discover our gites for meetings and seminars and their numerous advantages.</p>
<ul><li>an unchallenged charm;</li>
<li>a guaranteed intimacy;</li>
<li>a flexible formula;</li>
<li>a different welcome and service;</li>
<li>modern infrastructure and equipments adapted to the needs of the companies;</li>
<li>an advantageous and very competitive formula;</li>
<li>a quality local cuisine;</li>
<li>activities that respect the environment and nature.</li></ul>
","The Green Seminars of the « Gîtes de Wallonie », move your company to the countryside...",283|90|387|92|872|1131|1132|1133|1129|1157|249|1241|1010|1003|1288|1339|158,publish,
idee-sejour/group-stay/green-seminar-stay/idea-for-a-green-seminar-stay,Vignette,,,idea-for-a-green-seminar-stay,Idea for a Green Seminar Stay,,Green Seminar Stay in a gite.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/green-seminar-stay/idea-for-a-green-seminar-stay
idee-sejour/group-stay/green-seminar-stay/green-seminar-stay,Image,,,green-seminar-stay,Green Seminar Stay,,"Green Seminar gites and guest rooms, move your company to the countryside.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/green-seminar-stay/green-seminar-stay
idee-sejour/group-stay/green-seminar-stay/idea-for-a-green-seminar-stay,Vignette,,,idea-for-a-green-seminar-stay,Idea for a Green Seminar Stay,,Green Seminar Stay in a gite.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/green-seminar-stay/idea-for-a-green-seminar-stay
idee-sejour/group-stay/green-seminar-stay/green-seminar-stay,Image,,,green-seminar-stay,Green Seminar Stay,,"Green Seminar gites and guest rooms, move your company to the countryside.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/green-seminar-stay/green-seminar-stay
idee-sejour/group-stay/group-stay/idea-for-a-group-stay,Vignette,,,idea-for-a-group-stay,Idea for a Group Stay,,Group Stay  in a gite or guest house,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/group-stay/idea-for-a-group-stay
idee-sejour/group-stay/group-stay/group-stay,Image,,,group-stay,Group Stay,,"Group gites and guest rooms, places of reunion and meetings.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/group-stay/group-stay
idee-sejour/group-stay/a-stay-with-meeting-room/idea-for-a-stay-with-meeting-room,Vignette,,,idea-for-a-stay-with-meeting-room,Idea for a Stay with meeting room,,A Stay with meeting room in a gite or guest house.,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/a-stay-with-meeting-room/idea-for-a-stay-with-meeting-room
idee-sejour/group-stay/a-stay-with-meeting-room/a-stay-with-meeting-room,Image,,,a-stay-with-meeting-room,A Stay with meeting room,,"Gites and guest houses with meeting rooms, for family events, exhibitions or marriages.",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/group-stay/a-stay-with-meeting-room/a-stay-with-meeting-room
idee-sejour/aufenthalt-plus,IdeeSejourFolder,de,idee-sejour/sejour-plus,aufenthalt-plus,Aufenthalt Plus,,"
<p>Die Kunst, seine Freizeit nach Lust und Laune zu leben.</p>
<p>Ein Gîte (Ferienhaus) oder Gästezimmer Plus ist in erster Linie eine Gîtes de Wallonie Ferienunterkunft von hoher Qualität, in der Sie bedarfsgerecht und so, wie Sie es wollen, wohnen können.</p>
",,publish,
idee-sejour/aufenthalt-plus/aufenthalt-furs-baby,IdeeSejour,de,idee-sejour/sejour-plus/sejour-bebe-tendresse,aufenthalt-furs-baby,Aufenthalt Fürs Baby,"
<p align=""center""><b><img src=""aufenthalt-furs-baby-plus"" alt=""Aufenthalt Fürs Baby Plus"" /></b></p>
<p>Ein stibitzter Apfel, der nach Abenteuer schmeckt, eine Feldblume, die so gut nach Freiheit riecht, ein Tal, dessen Panorama die Phantasie beflügelt, Weizenähren, die uns an den Beinen kitzeln, das süße Zwitschern der Vögel am frühen Morgen … und die Erinnerung an jenes glückliche Haus, in dem wir so viel Spaß hatten, all dies bieten Ihnen die Gîtes de Wallonie Ferienhäuser.</p>
<p>Da Ferien mit einem Kleinkind nicht immer einfach sind, bietet Ihnen Gîtes de Wallonie den Aufenthalt Fürs Baby an. Ihr Gastgeber stellt Ihnen alles zur Verfügung, was Sie für den Aufenthalt mit Ihren Kindern brauchen: Kinderbett, Kinderklappstuhl, Kinderbadewanne, Wickelmatratze, Fläschchenwärmer oder Mikrowellenherd, unzerbrechliches Geschirr und Verbandkasten.</p>
<p>Ihr Gastgeber bietet Ihnen aber auch Aktivitäten für die ganze Familie an, Sehenswürdigkeiten, zu denen man auch mit dem Kinderwagen gelangt, Aktivitäten für jedes Alter … und, warum nicht, die Adresse eines Babysitters, um einmal einen Abend zu zweit verbringen zu können.</p>
","Entdecken Sie die Freuden und das Glück der Kindheit wieder. Wer erinnert sich nicht an Ferien auf dem Land, wo in Kinderaugen alles so aufregend war …",547|629|758|899|953|955|158|83|530|452|384|233|505|879|902|962|167|799|913|1|857|373|106|124|136|242|270|374|402|427|516|343|541|77|633|772|794|797|844|842|874|909|876|616|30|32|90|177|189|576|341|1140|134|502|368|1032|1085|851|1062|1288|1289|202|960|1136|1121|798|1134|682,publish,
idee-sejour/aufenthalt-plus/aufenthalt-furs-baby/aufenthaltsidee-furs-baby,Vignette,,,aufenthaltsidee-furs-baby,Aufenthaltsidee Fürs Baby,,Aufenthalt Fürs Baby im Ferienhaus oder Gästezimmer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-furs-baby/aufenthaltsidee-furs-baby
idee-sejour/aufenthalt-plus/aufenthalt-furs-baby/aufenthalt-furs-baby-plus,Image,,,aufenthalt-furs-baby-plus,Aufenthalt Fürs Baby Plus,,Ferienhäuser und Gästezimmer Fürs Baby - die kleine Hilfe für junge Familien,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-furs-baby/aufenthalt-furs-baby-plus
idee-sejour/aufenthalt-plus/aufenthalt-zuganglich-fur-alle,IdeeSejour,de,idee-sejour/sejour-plus/sejour-accessible-a-tous,aufenthalt-zuganglich-fur-alle,Aufenthalt Zugänglich für alle,"
<p align=""center""><b><img src=""aufenthalt-zuganglich-fur-alle-plus"" alt=""Aufenthalt Zugänglich für alle Plus"" /></b></p>
<p align=""left"">Abstand vom Alltagsstress zu finden, ist für alle Menschen wichtig. Deshalb bieten die Ferienunterkünfte Zugänglich für alle jedem die Chance zu erholsamen Ferien. Eine (auch nur vorübergehende) körperliche oder geistige Behinderung darf kein Grund für eine Einschränkung unserer Bewegungsfreiheit sein.</p>
<p align=""left"">Jedes Ferienhaus oder Gästezimmer Zugänglich für alle ist entsprechend seiner Zugänglichkeit je nach Behinderungs- oder Einschränkungsart gekennzeichnet.</p>
<p align=""left"">Es gelten folgende Kriterien:</p>
<ul><li>einzelner Rollstuhlfahrer: Person im Rollstuhl, die sich völlig autonom fortbewegen kann</li>
<li>begleiteter Rollstuhlfahrer: Person im Rollstuhl mit eingeschränkter Autonomie, die einen Helfer benötigt</li>
<li>Person mit Gehschwierigkeiten: Person, die einen Gehstock, eine Unterarmstütze oder eine fahrbare Gehhilfe benötigt</li>
<li>Sehbehinderter</li>
<li>Hörbehinderter</li>
<li>Person mit Verstehschwierigkeiten</li></ul>
<p>Detaillierte Informationen zu allen Ferienhäusern und Gästezimmern Zugänglich für alle erhalten Sie im <a title=""Das Haus der Gîtes de Wallonie"" href=""../../../contacts/das-haus-der-gites-de-wallonie"">Haus der Gîtes der Wallonie</a> oder direkt beim Eigentümer.</p>
","Ein Aufenthalt für wirklich alle. Die Ferienhäuser und Gästezimmer Zugänglich für alle sind so ausgelegt, dass auch Menschen mit Schwierigkeiten gelungene Ferien verbringen können.",756|204|209|3|52|521|506|207|946|270|150|607|953|433|648|347|374|58|355|12|385|17|926|560|1156|1134|862,publish,
idee-sejour/aufenthalt-plus/aufenthalt-zuganglich-fur-alle/aufenthaltsidee-zuganglich-fur-alle,Vignette,,,aufenthaltsidee-zuganglich-fur-alle,Aufenthaltsidee Zugänglich für alle,,Aufenthalt Zugänglich für alle im Ferienhaus oder Gästezimmer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-zuganglich-fur-alle/aufenthaltsidee-zuganglich-fur-alle
idee-sejour/aufenthalt-plus/aufenthalt-zuganglich-fur-alle/aufenthalt-zuganglich-fur-alle-plus,Image,,,aufenthalt-zuganglich-fur-alle-plus,Aufenthalt Zugänglich für alle Plus,,"Ferienhäuser und Gästezimmer Zugänglich für alle - gemeinsam erleben, auch wenn man anders ist",,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-zuganglich-fur-alle/aufenthalt-zuganglich-fur-alle-plus
idee-sejour/aufenthalt-plus/aufenthalt-allergiefrei,IdeeSejour,de,idee-sejour/sejour-plus/sejour-antiallergique,aufenthalt-allergiefrei,Aufenthalt Allergiefrei,"
<p align=""center""><b><img src=""aufenthalt-allergiefrei-plus"" alt=""Aufenthalt Allergiefrei Plus"" /></b></p>
<p>Die Ferienhäuser und Gästezimmer Allergiefrei liegen in einer natürlichen und gesunden Umwelt und sind ideal geeignet für Allergiker. So haben Haustiere keinen Zugang und ist Rauchen im Haus verboten. Durch Verwendung synthetischer Materialien wird außerdem dafür gesorgt, dass sich weder in den Betten noch in der übrigen Einrichtung Milben einnisten können.</p>
<p class=""discreet"">Unser Partner für die Ferienhäuser und Gästezimmer Allergiefrei:</p>
<ul><li>
<p class=""discreet""><a href=""http://www.oasis-allergies.org/"" target=""_blank"">Prévention des allergies asbl</a></p>
</li></ul>
",Allergie! Das Wort ist nur zu gut bekannt und steht für viele Unannehmlichkeiten … Die Ferienhäuser und Gästezimmer Allergiefrei bieten Ihnen deshalb Aufenthalte in sauberer Umgebung an.,149|741|742|77|1040|686|543|912|447,publish,
idee-sejour/aufenthalt-plus/aufenthalt-allergiefrei/aufenthaltsidee-allergiefrei,Vignette,,,aufenthaltsidee-allergiefrei,Aufenthaltsidee Allergiefrei,,Aufenthalt Allergie im Ferienhaus oder Gästezimmer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-allergiefrei/aufenthaltsidee-allergiefrei
idee-sejour/aufenthalt-plus/aufenthalt-allergiefrei/aufenthalt-allergiefrei-plus,Image,,,aufenthalt-allergiefrei-plus,Aufenthalt Allergiefrei Plus,,Ferienhäuser und Gästezimmer Allergiefrei - Ferien in sauberer Umgebung,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-allergiefrei/aufenthalt-allergiefrei-plus
idee-sejour/aufenthalt-plus/aufenthalt-im-garten,IdeeSejour,de,idee-sejour/sejour-plus/sejour-gite-au-jardin,aufenthalt-im-garten,Aufenthalt im Garten,"
<p align=""center""><b><img src=""aufenthalt-im-garten-plus"" alt=""Aufenthalt im Garten Plus"" /></b></p>
<p>Die Ferienhäuser und Gästezimmer im Garten, das ist vor allem ein Garten voller Düfte. Als leidenschaftlicher Gärtner weiht Sie Ihr Gastgeber gerne wie einen Freund in seinen Garten ein.</p>
<p>Genießen Sie die Momente der Stille inmitten eines herrlichen Gartens. Hinter jeder Biegung erwarten Sie Erholung und Ruhe, aber auch so manche Überraschung. Als Kenner wird Sie der Hausherr in seinen ästhetisch wie botanisch außergewöhnlichen Garten einladen und Ihnen sogar die Tür zu seinem Geheimgarten aufschließen … Geschützte Gärten, wilde und doch disziplinierte Gärten.</p>
<p class=""discreet"">Unsere Partner für die Ferienhäuser und Gästezimmer im Garten:</p>
<ul><li>
<p class=""discreet""><a href=""http://www.jardinsouverts.be"" target=""_blank"">Les Jardins ouverts de Belgique asbl<br /></a></p>
</li><li>
<p class=""discreet""><a href=""http://environnement.wallonie.be/"" target=""_blank"">L'administration wallonne de l'environnement</a></p>
</li></ul>
<p><br /></p>
",Verlegen Sie Ihre Ferien ins Grüne und lassen Sie die Natur zur Tür herein. Und lassen Sie sich durch die Erklärungen eines Bewirtschafters mit grünem Daumen von der zauberhaften Welt eines Kleinods der Natur verführen.,583|654|1051|324|1037|943|77|1082,publish,
idee-sejour/aufenthalt-plus/aufenthalt-im-garten/aufenthalt-im-garten-plus,Image,,,aufenthalt-im-garten-plus,Aufenthalt im Garten Plus,,Ferienhäuser und Gästezimmer im Garten - ein Besuch in einem außergewöhnlichen Garten,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-im-garten/aufenthalt-im-garten-plus
idee-sejour/aufenthalt-plus/aufenthalt-im-garten/aufenthaltsidee-im-garten,Vignette,,,aufenthaltsidee-im-garten,Aufenthaltsidee im Garten,,Aufenthalt im Garten im Ferienhaus oder Gästezimmer,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-im-garten/aufenthaltsidee-im-garten
idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft,IdeeSejour,de,idee-sejour/sejour-plus/sejour-eco-gite,aufenthalt-in-einer-oko-unterkunft,Aufenthalt in einer Öko-Unterkunft,"
<p align=""center""><b><img class=""image-inline"" src=""aufenthalt-in-einer-oko-unterkunft"" alt=""Aufenthalt in einer Öko-Unterkunft"" /></b></p>
<p>Ein Aufenthalt in einer Öko-Unterkunft verbindet Komfort und Ferienvergnügen mit Umweltschutz.</p>
<p>Zusammen mit „Nature &amp; Progrès“ laden die „Gîtes de Wallonie“ Sie dazu ein, den ökologischen Footprint Ihrer Ferien zu reduzieren. Sie brauchen kein Urlaubsziel in weiter Ferne zu suchen: wir bieten Ihnen Unterkünfte mit garantiertem Tapetenwechsel in Passiv-, Öko-, Biohäusern oder nach ähnlichen Konzepten entworfenen Ferienhäusern an. Es werden alle Möglichkeiten genutzt, um die Auswirkung Ihres Aufenthalts auf die Umwelt zu verringern: Einsatz natürlicher und umweltfreundlicher Materialien, Wasser- und Energieeinsparen, Abfallsortieren…</p>
<p>Ihre Gastgeber teilen nicht nur ihren umweltfreundlichen Wohnstil mit Ihnen, sondern auch ihre guten Adressen: lokale Erzeuger, natürliche Ressourcen, die Sie in der näheren Umgebung entdecken können…</p>
<p class=""discreet"">Ihr Partner für Öko-Unterkunft Ferienwohnungen und Gästezimmer:<br /></p>
<ul><li>
<p class=""discreet""><a href=""http://www.natpro.be"" target=""_blank"">Nature &amp; Progrès Belgique</a></p>
</li></ul>
<p></p>
",Ein Aufenthalt in einem Ferienhaus oder Gästezimmer steht immer für Naturnähe. „Eco-Gîte“ bietet Ihnen umweltfreundliche Ferien in einer ökologisch verantwortlichen Unterkunft an.,1119|1120|1466|1467|1468|1616,publish,
idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-plus-in-einer-oko-unterkunft,Vignette,,,aufenthalt-plus-in-einer-oko-unterkunft,Aufenthalt Plus in einer Öko-Unterkunft,,éco gîte et éco chambre d'hôtes en Wallonie,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-plus-in-einer-oko-unterkunft
idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-in-einer-oko-unterkunft,Image,,,aufenthalt-in-einer-oko-unterkunft,Aufenthalt in einer Öko-Unterkunft,,Hébergement écologique gîte et chambre d'hôtes,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-in-einer-oko-unterkunft
idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-plus-in-einer-oko-unterkunft,Vignette,,,aufenthalt-plus-in-einer-oko-unterkunft,Aufenthalt Plus in einer Öko-Unterkunft,,éco gîte et éco chambre d'hôtes en Wallonie,,publish,http://localhost:6080/gites_wallons/plone/idee-sejour/aufenthalt-plus/aufenthalt-in-einer-oko-unterkunft/aufenthalt-plus-in-einer-oko-unterkunft
